Domain,Search Term,Position,Advertisers,Last seen date,Avg. Monthly Searches Local,Competition,Suggested bid,Estimated Clicks,Estimated Impressions,Estimated Cost,Estimated CTR,Estimated Average CPC,Estimated Average Position,Avg. Monthly Searches Global
barilliance.com,abandoned cart email strategy,3,14,01/01/17,10,0.92,29.94,0,575.34,0,0,0,1,20
barilliance.com,building a recommendation engine,1,1,01/01/17,50,0.08,0,0,0,0,0,0,0,110
barilliance.com,cart abandonment campaign,5,14,01/01/17,10,0.55,0,0,42.1,0,0,0,1,10
barilliance.com,product recommendation engine,3,14,01/01/17,110,0.94,35.04,0,411.62,0,0,0,2,320
barilliance.com,browse abandonment app,5,9,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,dropped shopping cart emails,1,6,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandoned cart software,3,14,01/01/17,10,0.95,57.34,0,42.1,0,0,0,1,30
barilliance.com,Abandonment ecommerce,2,6,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,correct cart abandonment Click-path site navigation,5,9,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandoned shopping carts online,3,14,01/01/17,10,0.76,0,0,0,0,0,0,0,10
barilliance.com,abandoned cart magento,2,14,01/01/17,30,0.99,53.05,0,121.62,0,0,0,1,260
barilliance.com,best cart abandonment emails,5,7,01/01/17,20,0.98,34.45,0,42.1,0,0,0,1,40
barilliance.com,dropped cart abandonment,4,11,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,magento abandoned cart email,3,13,01/01/17,40,0.97,34.18,0,247.91,0,0,0,1,110
barilliance.com,bigcommerce browse abandonment,1,1,01/11/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandoned cart email template,5,7,01/01/17,90,0.86,36.96,0,126.29,0,0,0,1,210
barilliance.com,recommendation systems,2,2,01/03/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,shopping cart cart,6,12,01/04/16,10,0.71,0,0,0,0,0,0,0,10
barilliance.com,easy to use shopping cart,13,22,01/02/16,10,0.75,37.12,0,0,0,0,0,0,10
bronto.com,marketing software,1,14,01/05/16,1600,1,43.32,442,33402.39,50005.91,0.013,113.03,1,3600
bronto.com,bulk emailing services,7,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,transactional email service,6,14,01/04/16,320,0.98,63.94,86,1071.16,13392.94,0.08,155.9,1,1000
bronto.com,marketing mailer,8,14,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email blast service,4,8,01/03/16,880,0.99,55.05,184,14584.6,39049.16,0.013,211.95,1.01,1600
bronto.com,email marketing tools,8,11,01/06/16,590,0.77,64.74,36,2956.21,3342.29,0.012,93.42,1.03,2900
bronto.com,email automation,7,14,01/04/16,720,0.91,44.99,94,9649.79,6189.76,0.01,66.14,1,1900
bronto.com,email blast services,4,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email automation software,4,14,01/04/16,170,0.99,53.33,0,369.53,0,0,0,1,480
bronto.com,email platform,4,14,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,marketing campaign management,7,10,01/06/16,140,0.56,19.73,30,1150.68,2760.03,0.026,92.64,1,390
bronto.com,bulk emailing service,4,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email blasts services,14,14,01/03/16,0,0,0,0,0,0,0,0,0,0
bronto.com,enterprise email marketing,1,14,01/04/16,50,0.4,59.12,0,84.2,0,0,0,1,110
bronto.com,email broadcast,6,14,01/04/16,140,0.85,32.19,0,654.86,0,0,0,1,480
bronto.com,e marketing tools,4,9,01/06/16,70,0.53,0,0,42.1,0,0,0,1,590
bronto.com,marketing mailers,3,14,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email marketing tool,2,10,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email marketing platform,10,11,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,mail marketing services,3,9,01/06/16,110,0.63,35.28,0,659.53,0,0,0,1,320
bronto.com,email advertising service,14,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email broadcaster,6,18,01/02/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email broadcast software,4,14,01/04/16,70,0.14,11.33,0,84.2,0,0,0,1,140
bronto.com,email mailing service,2,14,01/04/16,30,0.87,27.21,159,3119.93,4790.53,0.051,30.08,1,110
bronto.com,enterprise email marketing software,1,14,01/03/16,10,0.94,63.62,0,0,0,0,0,0,20
bronto.com,email blast service providers,11,14,01/03/16,50,0.88,0,0,0,0,0,0,0,170
bronto.com,best marketing tools,2,14,01/06/16,210,0.69,25.37,0,781.15,0,0,0,1,590
bronto.com,email blasting service,13,14,01/03/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email blasting services,10,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email broadcasting,7,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email campaign providers,10,11,01/06/16,20,1,95.01,0,0,0,0,0,0,110
bronto.com,email broadcast services,1,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email advertising companies,10,13,01/04/16,30,0.75,85.4,0,84.2,0,0,0,1,110
bronto.com,email broadcasting service,14,14,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,marketing automation services,8,14,01/05/16,90,0.76,76.68,0,327.43,0,0,0,1,320
bronto.com,e mail broadcast,4,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,magento ecommerce integration,1,14,01/06/16,10,0.5,0,0,42.1,0,0,0,1,20
bronto.com,exact target pricing,2,6,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,bulk email service providers,6,13,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,e-commerce email,1,14,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,silverpop competitors,2,13,01/06/16,40,0.71,13.12,0,0,0,0,0,0,110
bronto.com,marketing for ecommerce,7,8,01/01/17,30,0.61,27.23,0,2670.88,0,0,0,1.05,140
bronto.com,commerce marketing software,6,6,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,email marketing software for ecommerce,8,14,01/01/17,10,1,0,0,0,0,0,0,0,10
bronto.com,e marketing in,1,3,01/01/17,10,0,0,0,0,0,0,0,0,10
bronto.com,bronto mail,1,6,01/01/17,40,0.21,0.97,0,0,0,0,0,0,50
bronto.com,ecommerce email makreting,1,14,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,ecommerce email marketing tool,3,14,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,bronto ecommerce,2,4,01/01/17,10,0.25,0,0,0,0,0,0,0,20
bronto.com,brontomail,1,1,01/11/16,10,0.07,3.19,0,0,0,0,0,0,10
bronto.com,ecommerce digital marketing,8,14,01/01/17,40,0.89,45.85,0,453.72,0,0,0,1,210
bronto.com,how to e marketing,5,6,01/01/17,10,0.14,0,0,42.1,0,0,0,1,10
bronto.com,bronto pricing,3,6,01/01/17,70,0.56,27.94,0,84.2,0,0,0,1,140
bronto.com,bronto magento,3,6,01/12/16,20,0.1,0,0,0,0,0,0,0,50
bronto.com,ecommerce email marketing software,1,14,01/01/17,10,1,79.3,0,0,0,0,0,0,20
bronto.com,bronto software,2,3,01/12/16,1300,0.36,9.02,0,1192.78,0,0,0,1,1900
bronto.com,marketing automation news,1,14,01/06/16,20,0.87,56.48,0,0,0,0,0,0,50
bronto.com,ecommerce newsletter,5,11,01/01/17,40,0.66,32.88,0,0,0,0,0,0,210
bronto.com,Listrak Pricing,3,8,01/06/16,40,0.64,36.7,0,42.1,0,0,0,1,50
bronto.com,bronto email,1,5,01/01/17,260,0.32,2.44,16,1108.58,258.63,0.015,15.96,1,390
bronto.com,listrak reviews,1,6,01/06/16,40,0.31,0,0,42.1,0,0,0,1,40
bronto.com,email marketing ecommerce,8,14,01/01/17,20,0.83,0,0,533.24,0,0,0,1,110
bronto.com,email marketing solution for ecommerce,1,14,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,bronto,1,5,01/01/17,5400,0.21,4.13,433,27569.49,6882.17,0.016,15.88,1,14800
bronto.com,Best email marketing for ecommerce,1,7,01/01/17,10,1,0,0,0,0,0,0,0,10
bronto.com,email marketing tool for ecommerce,1,14,01/01/17,10,1,0,0,0,0,0,0,0,10
bronto.com,bronto email marketing,2,6,01/12/16,50,0.72,16.95,0,0,0,0,0,0,90
bronto.com,bronto.com,1,6,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,email e commerce,8,14,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,"bronto.com,",1,4,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,e-marketing campaigns,4,10,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,email marketing automation for ecommerce,8,14,01/01/17,10,1,162.33,0,0,0,0,0,0,10
bronto.com,constantcontact.com vs exacttarget,2,11,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,e-marketing best practices,2,3,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,ecommerce email marketing,1,14,01/01/17,140,0.57,81.21,0,575.34,0,0,0,1,320
bronto.com,ecommerce email examples,4,5,01/01/17,20,0.59,0,0,0,0,0,0,0,70
bronto.com,http: e marketing tips distinctia com,2,7,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,ecommerce email marketing service,8,14,01/01/17,0,0,0,0,0,0,0,0,0,0
bronto.com,ecommerce email,7,11,01/01/17,50,0.8,63.71,16,1108.58,1326.47,0.015,81.27,1,140
bronto.com,emarketing tools,6,10,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,marketing mailing,6,12,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,marketing mail,4,10,01/06/16,260,0.99,21.35,0,659.53,0,0,0,1,1000
bronto.com,commerce marketing automation,9,14,01/06/16,10,0.95,0,0,0,0,0,0,0,10
bronto.com,mail marketing service,5,10,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,ecommerce marketing automation,1,14,01/06/16,40,0.64,80.57,0,0,0,0,0,0,110
bronto.com,marketing features,1,7,01/06/16,20,0.05,0,0,0,0,0,0,0,170
bronto.com,electronic marketing tools,1,12,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,emarketing tool,6,11,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,marketing campaign tools,1,14,01/06/16,40,0.82,19.03,53,2259.26,2248.8,0.023,42.6,1.02,140
bronto.com,marketing mails,1,14,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,marketing automation ecommerce,9,14,01/06/16,10,0.98,101.72,0,42.1,0,0,0,1,50
bronto.com,australia email marketing,2,14,01/05/16,0,0,0,0,0,0,0,0,0,0
bronto.com,permission based email marketing ribble valley,5,14,01/05/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email marketing services uk,3,14,01/05/16,10,0.5,44.85,0,0,0,0,0,0,70
bronto.com,free email newsletter services,3,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email automated,10,22,01/02/16,0,0,0,0,0,0,0,0,0,0
bronto.com,silverpop reviews,1,10,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email broadcasting services,14,14,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,exact target competitors,2,14,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,marketing softwares,1,14,01/05/16,0,0,0,0,0,0,0,0,0,0
bronto.com,automation platform,4,10,01/03/16,90,0.37,0,0,42.1,0,0,0,1,260
bronto.com,email platforms,7,8,01/06/16,590,0.86,48.98,29,4228.51,2761.23,0.007,93.97,1,1600
bronto.com,email marketing salesforce integration,2,14,01/04/16,10,0.99,56.28,0,0,0,0,0,0,10
bronto.com,silverpop pricing,5,8,01/06/16,110,0.64,25.57,0,205.81,0,0,0,1,260
bronto.com,emailing platform,4,14,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email mailing services,2,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,free email newsletter service,3,14,01/04/16,50,0.85,44.41,0,0,0,0,0,0,90
bronto.com,dotmailer reviews,2,3,01/05/16,20,0.49,0,0,0,0,0,0,0,40
bronto.com,email blast service provider,9,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email broadcasts,11,12,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,e-mail marketer,1,14,01/05/16,0,0,0,0,0,0,0,0,0,0
bronto.com,dotmailer Pricing,2,11,01/06/16,40,0.45,11.66,0,163.71,0,0,0,1,210
bronto.com,services email,1,11,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,exacttarget.com vs angel.com,2,7,01/06/16,0,0,0,0,0,0,0,0,0,0
bronto.com,Listrak vs MailChimp,3,3,01/06/16,10,0.48,29.74,0,0,0,0,0,0,10
bronto.com,transactional email service provider,1,7,01/04/16,10,0.71,0,0,0,0,0,0,0,70
bronto.com,bulk email sending services,4,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email broadcasting software,6,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,exacttarget vs,2,3,01/05/16,10,0.57,0,0,0,0,0,0,0,10
bronto.com,email broadcast service,1,14,01/04/16,90,0.92,49.06,0,0,0,0,0,0,390
bronto.com,silverpop review,1,9,01/06/16,30,0.48,0,0,42.1,0,0,0,1,50
bronto.com,company email services,1,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,transactional email services,1,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,email marketing integration,2,14,01/04/16,20,0.22,0,0,0,0,0,0,0,40
bronto.com,bulk emails service,7,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,bulk email service provider,11,14,01/04/16,110,0.98,67.93,0,84.2,0,0,0,1,1000
bronto.com,e mail broadcast software,4,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,service email,1,11,01/04/16,40,0.27,12.84,13,1436.01,322.5,0.009,25.07,1,320
bronto.com,e mail automate,3,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,e mail automation,4,14,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,integrated email marketing,5,13,01/04/16,10,1,0,0,0,0,0,0,0,10
bronto.com,exacttarget help,3,3,01/06/16,110,0.12,25.4,0,0,0,0,0,0,260
bronto.com,enterprise marketing automation in crm,1,14,01/04/16,10,0,0,0,0,0,0,0,0,10
bronto.com,ecommerce email templates,4,10,01/06/16,50,0.9,61.52,0,205.81,0,0,0,1,260
bronto.com,bulk email sending service,4,14,01/04/16,50,0.98,108.74,0,42.1,0,0,0,1,170
bronto.com,exacttarget pricing,1,11,01/06/16,140,0.34,14.86,0,126.29,0,0,0,1,210
bronto.com,service emails,2,12,01/04/16,0,0,0,0,0,0,0,0,0,0
bronto.com,what is listrak pricing,2,3,01/05/16,0,0,0,0,0,0,0,0,0,0
dynamicyield.com,shopping cart abandonment,1,10,01/12/16,260,0.72,38.79,34,1562.3,4472.25,0.022,129.85,1.34,590
dynamicyield.com,cart abandonment,1,2,01/01/17,320,0.78,54.3,73,11993.24,4255.39,0.006,58.34,1.05,880
dynamicyield.com,website abandonment,5,10,01/10/16,50,0.08,0,0,0,0,0,0,0,70
dynamicyield.com,abandoned cart,1,14,01/01/17,320,0.84,45.71,0,1810.21,0,0,0,1.11,1600
dynamicyield.com,website conversion optimization,2,8,01/10/16,210,0.13,26.45,0,290.01,0,0,0,1,320
dynamicyield.com,product recommendation,1,9,01/01/17,210,0.5,15,32,1314.39,354.46,0.024,11.12,1.03,720
dynamicyield.com,retail email marketing,1,14,01/11/16,40,0.62,44.23,0,84.2,0,0,0,1,70
dynamicyield.com,conversion rate improvement,6,8,01/09/16,10,0.29,33.15,0,0,0,0,0,0,30
dynamicyield.com,improving conversion rates,2,4,01/11/16,0,0,0,0,0,0,0,0,0,0
dynamicyield.com,shopping cart abandonment statistics,1,7,01/01/17,40,0.89,0,0,0,0,0,0,0,90
dynamicyield.com,cart abandonment email,1,7,01/12/16,170,0.68,34.28,11,1314.39,749.23,0.008,68.15,1,390
dynamicyield.com,product recommendations,1,7,01/01/17,0,0,0,0,0,0,0,0,0,0
dynamicyield.com,cart abandon,1,13,01/01/17,10,1,0,4,411.62,467.1,0.011,105.34,1.1,30
dynamicyield.com,abandoned cart emails,9,14,01/01/17,0,0,0,0,0,0,0,0,0,0
dynamicyield.com,e commerce personalization,1,13,01/01/17,0,0,0,0,0,0,0,0,0,0
dynamicyield.com,shopping cart recovery,1,3,01/01/17,40,0.88,23.8,0,374.2,0,0,0,1.42,70
dynamicyield.com,e commerce conversion rate,1,6,01/01/17,0,0,0,0,0,0,0,0,0,0
dynamicyield.com,increasing conversion rates,1,7,01/11/16,0,0,0,0,0,0,0,0,0,0
dynamicyield.com,ab testing tool,3,7,01/11/16,0,0,0,0,0,0,0,0,0,0
dynamicyield.com,abandoned shopping cart,1,10,01/01/17,170,0.94,55.92,125,5262.25,3295.43,0.024,26.38,1.05,390
dynamicyield.com,e commerce conversion,1,13,01/01/17,0,0,0,0,0,0,0,0,0,0
